index,name,status,source_page,image_url,detector,score,face_count,sha256
14,Lucía León,replacement,https://en.wikipedia.org/wiki/Luc%C3%ADa_Le%C3%B3n,https://upload.wikimedia.org/wikipedia/commons/a/a8/Luc%C3%ADa_Le%C3%B3n_%281%29.jpg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,yunet@0,0.8782,1,10417b7bae4c41204911b091de8383be84a2f2c80960a6bdc736aa32473b2024
15,Dorian McMenemy,replacement,https://www.worldaquatics.com/athletes/1000224/dorian-mcmenemy,https://resources.fina.org/photo-resources/2024/10/05/97c9fefd-7f88-4ef6-a8af-98be1af16c61/9d99696b-c8be-4b29-9ffb-ab16e0680b70?width=350,yunet@0,0.9482,1,099c1ff1a6e77f43b82ad41bcf788682839f2faa4bde2cfe5fde29ff27f6c56e
16,Rosa Angelica Santana,replacement,https://worldathletics.org/athletes/dominican-republic/rosa-angelica-santana-14749626,https://upload.wikimedia.org/wikipedia/commons/1/1a/Rosa_Damasceno_%28Alfred_Fillon%2C_1875_-_B%26W%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,yunet@0,0.9007,1,c067ed6d736c0574daba2e92251b5f517b2b6b2913fb932aafadaa7eab93ff02
17,Yaneirys Rodriguez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/158817,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/n7i4s9jqxxzzqx7hpn4q.webp,yunet@0,0.9464,1,8875d03996b33579365a5b1c7f947162dc37fd5c64bc43436646d9406d4d04bd
18,Alondra Tapia,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/183317,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/v1nrpqqgnnxpglv1iwx3.webp,yunet@0,0.9415,1,dc7431f54b72ff1fc6594bb4a9d5ea98064a22a0838bb4ca29db2ac1cc5da0c6
19,Flormarie Heredia,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/161506,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/epyy9zrfodta6rt5whdu.webp,yunet@0,0.9473,1,6005540322d0b50d7a5e1d35babe87db2047190bd0e800ee889fbb3d1e59feb8
20,Geraldine Gonzalez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/149530,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/aukm4jljcaeeb73ys5gm.webp,yunet@0,0.9495,1,bdcf3d5b2927e3fe2d3e58901237db07ad5b025d5c4322ecec05e7e6e56f07d6
21,Massiel Matos,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139911,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/oiki7le2kb7ixql2ghvj.webp,yunet@0,0.9430,1,bfbe53b2fa87d2849af681b8972c3f76b300edc728229d3a43c8e45e97fd9892
22,Camila De la Rosa,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/157907,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/opoezy9pipu7b6tqhfsz.webp,yunet@0,0.9516,1,966774fda9fee79495cdcc92e704eb6e2126dcaf9828bb9c8234b4cfe58609b7
23,Florangel Terrero,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/185978,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/ndg2c8qg5w4n4qget0ql.webp,yunet@0,0.9486,1,75a298d708d7a589a095ca9c0053884ec092a8edbbdb39de1fbe49afca089368
